name,model_type,train_mae,val_mae,test_mae,train_time,num_params,seed
baseline_rf,RandomForest,0.464370733773051,0.7044302455159398,0.762414491179315,30.12703013420105,0,42
baseline_rf,RandomForest,0.464370733773051,0.7044302455159398,0.762414491179315,29.683286905288696,0,42
xgboost_baseline,XGBoost,0.47023096108780604,0.6815958756687386,0.7385407478881202,17.20340609550476,0,42
baseline_rf,RandomForest,0.464370733773051,0.7044302455159399,0.7624144911793151,25.766259908676147,0,42
baseline_rf_combined,RandomForest,0.19316030604583956,0.566736484374424,0.6176984599207802,115.64599704742432,0,42
xgboost_baseline,XGBoost,0.47023096108780604,0.6815958756687386,0.7385407478881202,22.441091060638428,0,42
xgboost_baseline,XGBoost,0.2557523596695257,0.5367353251203895,0.5862565068638927,50.16810584068298,0,42
xgboost_baseline,XGBoost,fingerprint,0.47023096108780604,0.6815958756687386,0.7385407478881202,21.54230499267578,0,42,N/A,N/A,100
